DATES,MIN,MAX,HUMIDITY,RAINFALL,DENGUE
"January, 2022",11.93040489,24.7079102,79.39124972,9.211252775,126
"February, 2022",14.9749097,28.91762128,73.39777549,17.34390928,20
"March, 2022",19.69596765,32.41539431,71.55945191,41.92748703,20
"April, 2022",23.17767983,33.68545548,75.58865,177.3608056,23
"May, 2022",24.2141296,33.30918934,79.24085868,236.4044321,163
"June, 2022",25.3063705,32.40537606,84.00008911,371.6415913,737
"July, 2022",25.4616173,31.58883255,86.30942764,530.9240959,1571
"August, 2022",25.49986752,31.86577174,85.84201601,397.5749356,3521
"September, 2022",25.23215011,32.18350512,85.07837445,298.6281676,9911
"October, 2022",23.23092461,31.73226923,83.09497398,176.9332494,21932
"November, 2022",18.58490902,29.93056818,79.06869425,19.76189514,17583
"December, 2022",14.49385637,26.14201293,80.88917451,10.36588142,6775
"January, 2023",11.93040489,24.7079102,79.39124972,9.211252775,566
"February, 2023",14.9749097,28.91762128,73.39777549,17.34390928,166
"March, 2023",19.69596765,32.41539431,71.55945191,41.92748703,111
"April, 2023",23.17767983,33.68545548,75.58865,177.3608056,143
"May, 2023",24.2141296,33.30918934,79.24085868,236.4044321,1036
"June, 2023",25.3063705,32.40537606,84.00008911,371.6415913,5956
"July, 2023",25.4616173,31.58883255,86.30942764,530.9240959,43854
"August, 2023",25.49986752,31.86577174,85.84201601,397.5749356,71976
"September, 2023",25.23215011,32.18350512,85.07837445,298.6281676,79598
"October, 2023",23.23092461,31.73226923,83.09497398,176.9332494,67769
"November, 2023",18.58490902,29.93056818,79.06869425,19.76189514,40716
"December, 2023",14.49385637,26.14201293,80.88917451,10.36588142,9288
